5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.914258,0.991828,0.999254,0.999932,0.999994,0.999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.509436,0.653483,0.75351,0.829145,0.885184,0.924826,0.951726,0.969422,0.980814,0.988041,0.992579,0.99541,0.997168,0.998256,0.998927,0.999341,0.999595,0.999752,0.999848,0.999907,0.999943,0.999965,0.999979,0.999987,0.999992,0.999995,0.999997,0.999998,0.999999,0.999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.318204,0.411893,0.496548,0.579395,0.661481,0.738681,0.806198,0.861244,0.903507,0.93443,0.956232,0.97118,0.981218,0.987857,0.992197,0.99501,0.996822,0.997983,0.998723,0.999193,0.999492,0.99968,0.999799,0.999874,0.999921,0.999951,0.999969,0.999981,0.999988,0.999993,0.999995,0.999997,0.999998,0.999999,0.999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.425822,0.570101,0.690255,0.786778,0.858948,0.909438,0.943044,0.964663,0.978265,0.986703,0.991893,0.995067,0.997002,0.99818,0.998895,0.99933,0.999593,0.999753,0.99985,0.999909,0.999945,0.999967,0.99998,0.999988,0.999993,0.999995,0.999997,0.999998,0.999999,0.999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.266025,0.223885,0.170167,0.121693,0.0833589,0.0553865,0.0360458,0.0231422,0.0147294,0.0093239,0.00588217,0.00370312,0.00232829,0.00146272,0.000918492,0.000576579,0.000361877,0.000227099,0.000142508,8.94218e-05,5.61095e-05,3.52065e-05,2.20904e-05,1.38606e-05,8.69682e-06,5.45679e-06,3.42383e-06,2.14827e-06,1.34792e-06,8.45742e-07,5.30655e-07,3.32956e-07,2.08911e-07,1.3108e-07,8.22453e-08,5.16043e-08,3.23788e-08,2.03159e-08,1.2747e-08,7.99805e-09,5.01833e-09,3.14872e-09,1.97564e-09,1.2396e-09,7.77781e-10,4.88014e-10,3.06201e-10,1.92124e-10,1.20547e-10,7.56363e-11,4.74575e-11,2.97769e-11,1.86833e-11,1.17227e-11,7.35535e-12,4.61507e-12,2.89569e-12,1.81688e-12,1.13999e-12,7.1528e-13,4.48798e-13,2.81595e-13,1.76685e-13,1.1086e-13,6.95584e-14,4.36439e-14,2.73841e-14,1.7182e-14,1.07807e-14,6.76429e-15,4.24421e-15,2.663e-15,1.67088e-15,1.04839e-15,6.57802e-16,4.12734e-16,2.58967e-16,1.62487e-16,1.01952e-16,6.39688e-17,4.01368e-17,2.51836e-17,1.58013e-17,9.91441e-18,6.22073e-18,3.90316e-18,2.44901e-18,1.53662e-18,9.6414e-19,6.04943e-19,3.79568e-19,2.38157e-19,1.4943e-19,9.3759e-20,5.88285e-20,3.69115e-20,2.26793e-20,1.39377e-20,8.5673e-21,5.26727e-21
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.623859,0.803609,0.901331,0.952788,0.978128,0.990048,0.995516,0.99799,0.999102,0.9996,0.999822,0.999921,0.999965,0.999984,0.999993,0.999997,0.999999,0.999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.50306,0.684117,0.811591,0.896235,0.946413,0.973489,0.987232,0.993953,0.997168,0.998684,0.999392,0.99972,0.999872,0.999941,0.999973,0.999988,0.999994,0.999998,0.999999,0.999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.266025,0.223885,0.170167,0.121693,0.0833589,0.0553865,0.0360458,0.0231422,0.0147294,0.0093239,0.00588217,0.00370312,0.00232829,0.00146272,0.000918492,0.000576579,0.000361877,0.000227099,0.000142508,8.94218e-05,5.61095e-05,3.52065e-05,2.20904e-05,1.38606e-05,8.69682e-06,5.45679e-06,3.42383e-06,2.14827e-06,1.34792e-06,8.45742e-07,5.30655e-07,3.32956e-07,2.08911e-07,1.3108e-07,8.22453e-08,5.16043e-08,3.23788e-08,2.03159e-08,1.2747e-08,7.99805e-09,5.01833e-09,3.14872e-09,1.97564e-09,1.2396e-09,7.77781e-10,4.88014e-10,3.06201e-10,1.92124e-10,1.20547e-10,7.56363e-11,4.74575e-11,2.97769e-11,1.86833e-11,1.17154e-11,7.3462e-12,4.60654e-12,2.88862e-12,1.81139e-12,1.13589e-12,7.12305e-13,4.46683e-13,2.80115e-13,1.75662e-13,1.1016e-13,6.90828e-14,4.33233e-14,2.71692e-14,1.70386e-14,1.06855e-14,6.70132e-15,4.20269e-15,2.63571e-15,1.65299e-15,1.03668e-15,6.50167e-16,4.07761e-16,2.55734e-16,1.60389e-16,1.00592e-16,6.3089e-17,3.95682e-17,2.48166e-17,1.55646e-17,9.76198e-18,6.12265e-18,3.8401e-18,2.40851e-18,1.51062e-18,9.47469e-19,5.94259e-19,3.72725e-19,2.33778e-19,1.46629e-19,9.19682e-20,5.76842e-20,3.61808e-20,2.2968e-20,1.45785e-20,9.25243e-21,5.87148e-21
